Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
ジャクソン,Carp,11300,投手,3,185,88,不明,右,右,アメリカ,1987-10-27,58,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,3,1,0,21,0.75,161,36.1,34,6,22,0,33,14,12,1.54,5.18,C
曽根　海成,Carp,560,内野手,5,175,68,A型,右,左,大阪,1995-04-24,59,0.2,4,5,5,1,0,1,0,0,0,3,0,0,0.2,0.6,0.8,4.55,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
永井　敦士,Carp,500,外野手,1,178,88,B型,右,右,埼玉,2000-01-10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
坂倉　将吾,Carp,600,捕手,2,176,84,A型,右,左,千葉,1998-05-29,61,0.125,9,9,8,1,0,1,0,1,0,1,0,0,0.222,0.25,0.472,1.61,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
ヘルウェグ,Carp,3300,投手,1,200,106,不明,右,右,アメリカ,1988-10-29,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
西川　龍馬,Carp,2e3,内野手,3,176,72,O型,右,左,大阪,1994-12-10,63,0.312,79,258,234,73,5,36,2,18,1,42,4,1,0.362,0.462,0.824,6.25,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
中村　恭平,Carp,700,投手,8,185,86,O型,左,左,福岡,1989-03-22,64,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,0,1,0,0,0,75,14.1,20,0,14,0,11,12,12,2.37,4.31,C
長井　良太,Carp,450,投手,2,181,80,B型,右,右,兵庫,1999-01-15,65,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0,0,0,0,0,19,3.1,4,1,5,0,0,5,5,2.7,11.52,C
遠藤　淳志,Carp,480,投手,1,184,74,O型,右,右,茨城,1999-04-08,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
中村　祐太,Carp,900,投手,5,182,88,A型,右,右,東京,1995-08-31,67,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,3,4,0,0,0.429,171,36.2,42,6,19,5,22,28,27,1.66,5.93,C
